,epoch,batch_time,train_time,hr,ndcg,test_loss,eval_time,train_loss,loss_time
0,0,108.7922625541687,1237.234762430191,0.6200331125827815,0.3657265910323221,0.160373255610466,28.515555381774902,0.27630399528224736,186.21784281730652
1,1,108.53157901763916,1226.1706037521362,0.6521523178807948,0.3856907084509828,0.14992357790470123,25.582632303237915,0.26062248076207395,184.6618480682373
2,2,108.67150735855103,1225.7562549114227,0.6586092715231788,0.3926420544319401,0.13978992402553558,25.396568775177002,0.2526219307660859,184.12848377227783
3,3,109.86155247688293,1227.5099539756775,0.6675496688741722,0.39930716247569237,0.13874992728233337,25.990211009979248,0.24766972327099138,186.0007357597351
4,4,108.7399845123291,1231.3054263591766,0.675,0.4050983860922317,0.1368889957666397,26.172934770584106,0.24324085598947195,186.3792507648468
5,5,108.6518805027008,1225.9510130882263,0.6809602649006623,0.40771226730846655,0.13984724879264832,25.89288067817688,0.23977241022327286,185.50815415382385
6,6,108.52554082870483,1247.0221211910248,0.6879139072847682,0.41465863852338875,0.130707249045372,27.95124125480652,0.2372153190118785,197.76705408096313
7,7,112.71652936935425,1287.5912191867828,0.6867549668874172,0.41473903797694467,0.12970823049545288,27.816601276397705,0.2346973566523451,194.59254455566406
8,8,112.44625210762024,1289.507094860077,0.6950331125827814,0.4203403848723644,0.1348482072353363,27.435620546340942,0.2323635760040966,192.39043426513672
9,9,112.18993759155273,1283.5071427822113,0.6990066225165563,0.4228706628106433,0.131657212972641,28.044991731643677,0.23109612555076547,196.70289969444275
10,10,112.71154141426086,1302.9321882724762,0.7004966887417219,0.42429289450201546,0.13339635729789734,32.040305614471436,0.22908892906240083,231.32076478004456
11,11,120.12571287155151,1392.54079079628,0.6981788079470199,0.4240378084377923,0.12889602780342102,30.073581218719482,0.22715723522944956,207.14047932624817
12,12,116.51414489746094,1320.3568749427795,0.7024834437086093,0.4251442049464402,0.12554816901683807,29.021379709243774,0.22673254800553352,201.88603711128235
13,13,113.59517884254456,1254.0617299079895,0.7052980132450332,0.428935152464723,0.12825828790664673,27.31272053718567,0.22433268544294976,190.95308017730713
14,14,109.17594456672668,1253.484787940979,0.7048013245033112,0.43062399169567406,0.12734736502170563,29.313947677612305,0.22336285766090777,201.14156222343445
15,15,109.12347936630249,1242.9982647895813,0.7043046357615894,0.4301177082231828,0.12783043086528778,27.637462377548218,0.22334763504108351,191.412371635437
16,16,109.05791163444519,1251.7573201656342,0.7054635761589404,0.4310209862197028,0.13111919164657593,28.861419677734375,0.22117495051406275,198.60036420822144
17,17,108.99026942253113,1245.9220151901245,0.7084437086092715,0.43350748326689337,0.1286201775074005,28.255791902542114,0.2202870755413214,193.2979497909546
18,18,109.26862931251526,1255.704712152481,0.7049668874172186,0.429768318671734,0.12928460538387299,29.88829016685486,0.21925059236734118,202.68299174308777
19,19,109.1603753566742,1247.3082320690155,0.7077814569536424,0.4336179636562922,0.12409204989671707,28.57046151161194,0.21828038808303757,194.1284396648407
20,20,108.91117191314697,1251.332795381546,0.7089403973509933,0.43275385163890495,0.12457376718521118,29.291207790374756,0.21768664500201182,199.243643283844
21,21,108.81270170211792,1240.5570440292358,0.706953642384106,0.4336309480399689,0.12604138255119324,28.02085542678833,0.21676356850549677,191.74917078018188
22,22,108.7591404914856,1253.2542655467987,0.7041390728476821,0.43201273452930167,0.12824241816997528,30.392704963684082,0.2156838915841222,203.64828324317932
